표준코드,단축코드,한글 종목명,한글 종목약명
KR7003491008,3495,대한항공1우선주,대한항공우
KR7003490000,3490,대한항공보통주,대한항공
KR7005880000,5880,대한해운보통주,대한해운
KR7003830007,3830,대한화섬보통주,대한화섬
KR7016090003,16090,대현보통주,대현
KR7069460004,69460,대호에이엘보통주,대호에이엘
KR7021040001,21040,대호특수강,대호특수강
KR7021041009,21045,대호특수강1우선주,대호특수강우
KR7067080002,67080,대화제약,대화제약
KR7161570007,161570,더 미동,THE MIDONG
KR7298540006,298540,더네이쳐홀딩스,더네이쳐홀딩스
KR7192080000,192080,더블유게임즈보통주,더블유게임즈
KR7073570004,73570,더블유아이,WI
KR7299170001,299170,더블유에스아이,더블유에스아이
KR7192410009,192410,더에이치큐,THQ
KR7089230007,89230,더이앤엠,THE E&M
KR7012510004,12510,더존비즈온보통주,더존비즈온
KR7302920004,302920,더콘텐츠온,더콘텐츠온
KR7213420003,213420,덕산네오룩스,덕산네오룩스
KR7317330009,317330,덕산테코피아,덕산테코피아
KR7077360006,77360,덕산하이메탈,덕산하이메탈
KR7004831004,4835,덕성1우선주,덕성우
KR7004830006,4830,덕성보통주,덕성
KR7090410002,90410,덕신하우징,덕신하우징
KR7024900003,24900,덕양산업보통주,덕양산업
KR7263600009,263600,덕우전자,덕우전자
KR7194480000,194480,데브시스터즈,데브시스터즈
KR7348840000,348840,데이드림엔터테인먼트,데이드림엔터
KR7263800005,263800,데이타솔루션,데이타솔루션
KR7199150004,199150,데이터스트림즈,데이터스트림즈
KR7206560005,206560,덱스터스튜디오,덱스터
KR7261200000,261200,덴티스,덴티스
KR7145720009,145720,덴티움보통주,덴티움
KR7227420007,227420,도부마스크,도부마스크
KR7067990002,67990,도이치모터스,도이치모터스
KR7002150001,2150,도화엔지니어링보통주,도화엔지니어링
KR7006620009,6620,동구바이오제약,동구바이오제약
KR7005160007,5160,동국산업,동국산업
KR7075970004,75970,동국알앤에스,동국알앤에스
KR7100130004,100130,동국에스엔씨,동국S&C
KR7001230002,1230,동국제강보통주,동국제강
KR7086450004,86450,동국제약,동국제약
KR7004140000,4140,동방보통주,동방
KR7099410003,99410,동방선기,동방선기
KR7007590003,7590,동방아그로보통주,동방아그로
KR7005961008,5965,동부건설1우선주,동부건설우
KR7005960000,5960,동부건설보통주,동부건설
KR7026960005,26960,동서보통주,동서
KR7002210003,2210,동성제약보통주,동성제약
KR7102260007,102260,동성케미컬보통주,동성케미컬
KR7033500000,33500,동성화인텍,동성화인텍
KR7025950007,25950,동신건설,동신건설
KR7000640003,640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스
KR7170900005,170900,동아에스티보통주,동아에스티
KR7088130000,88130,동아엘텍,동아엘텍
KR7028100006,28100,동아지질보통주,동아지질
KR7282690007,282690,동아타이어공업보통주,동아타이어
KR7041930009,41930,동아화성,동아화성
KR7001521004,1525,동양1우선주,동양우
KR7001522002,1527,동양2우선주(신형),동양2우B
KR7001523000,1529,동양3우선주(신형),동양3우B
KR7084670009,84670,동양고속보통주,동양고속
KR7001520006,1520,동양보통주,동양
KR7082640004,82640,동양생명보험보통주,동양생명
KR7060380003,60380,동양에스텍,동양에스텍
KR7079960001,79960,동양이엔피,동양이엔피
KR7008970006,8970,동양철관보통주,동양철관
KR7228340006,228340,동양파일,동양파일
KR7092780006,92780,동양피스톤보통주,동양피스톤
KR7088910005,88910,동우팜투테이블,동우팜투테이블
KR7094170008,94170,동운아나텍,동운아나텍
KR7049770001,49770,동원F&B보통주,동원F&B
KR7013120001,13120,동원개발,동원개발
KR7018500009,18500,동원금속보통주,동원금속
KR7006040000,6040,동원산업보통주,동원산업
KR7030720007,30720,동원수산보통주,동원수산
KR7014821003,14825,동원시스템즈1우선주,동원시스템즈우
KR7014820005,14820,동원시스템즈보통주,동원시스템즈
KR7163560006,163560,동일고무벨트보통주,동일고무벨트
KR7109860007,109860,동일금속,동일금속
KR7032960007,32960,동일기연,동일기연
KR7004890000,4890,동일산업보통주,동일산업
KR7002690006,2690,동일제강보통주,동일제강
KR7023790009,23790,동일철강,동일철강
KR7005290002,5290,동진쎄미켐,동진쎄미켐
KR7025900002,25900,동화기업,동화기업
KR7000020008,20,동화약품보통주,동화약품
KR7000151001,155,두산1우선주,두산우
KR7000152009,157,두산2우선주(신형),두산2우B
KR7241560002,241560,두산밥캣보통주,두산밥캣
KR7000150003,150,두산보통주,두산
KR7034020008,34020,두산중공업보통주,두산중공업
KR733626K013,33626K,두산퓨얼셀1우선주,두산퓨얼셀1우
KR733626K021,33626L,두산퓨얼셀2우선주(신형),두산퓨얼셀2우B
KR7336260005,336260,두산퓨얼셀보통주,두산퓨얼셀
KR7016740003,16740,두올보통주,두올
KR7073190001,73190,듀오백,듀오백
KR7176750008,176750,듀켐바이오,듀켐바이오
KR7030350003,30350,드래곤플라이,드래곤플라이
KR7203650007,203650,드림시큐리티,드림시큐리티
KR7223250002,223250,드림씨아이에스,드림씨아이에스
KR7060570009,60570,드림어스컴퍼니,드림어스컴퍼니
KR7192650000,192650,드림텍보통주,드림텍
KR7217620004,217620,디딤,디딤
KR7187870001,187870,디바이스이엔지,디바이스이엔지
KR7404950008,404950,디비금융제10호기업인수목적,DB금융스팩10호
KR7367340007,367340,디비금융제8호기업인수목적,DB금융스팩8호
KR7367360005,367360,디비금융제9호기업인수목적,DB금융스팩9호
KR7066670001,66670,디스플레이테크,디스플레이텍
KR7024090003,24090,디씨엠보통주,디씨엠
KR7003160009,3160,디아이보통주,디아이
KR7092200005,92200,디아이씨 보통주,디아이씨
KR7110990009,110990,디아이티,디아이티
KR7078590007,78590,디아크,디아크
KR7004840005,4840,디알비동일보통주,DRB동일
KR7263690000,263690,디알젬,디알젬
KR7214680001,214680,디알텍,디알텍
KR7377190004,377190,디앤디플랫폼리츠보통주,디앤디플랫폼리츠
KR7263720005,263720,디앤씨미디어,디앤씨미디어
KR7376300000,376300,디어유,디어유
KR7241520006,241520,디에스씨인베스트먼트,DSC인베스트먼트
KR7109740001,109740,디에스케이,디에스케이
KR7131030009,131030,디에이치피코리아,디에이치피코리아
KR7196490007,196490,디에이테크놀로지,디에이테크놀로지
KR7066900002,66900,디에이피,디에이피
KR7180400004,180400,디엑스앤브이엑스,디엑스앤브이엑스
KR7127120004,127120,디엔에이링크,디엔에이링크
KR7092070002,92070,디엔에프,디엔에프
KR7068790005,68790,디엠에스,DMS
KR7039840004,39840,디오,디오
KR7219550001,219550,디와이디,디와이디
KR7013570007,13570,디와이보통주,디와이
KR7310870001,310870,디와이씨,디와이씨
KR7210540001,210540,디와이파워보통주,디와이파워
KR7104460001,104460,디와이피엔에프,디와이피엔에프
KR7079810008,79810,디이엔티,디이엔티
KR7113810006,113810,디젠스,디젠스
KR7043360007,43360,디지아이,디지아이
KR7197140007,197140,디지캡,디지캡
KR7068930007,68930,디지털대성,디지털대성
KR7033130006,33130,디지틀조선일보,디지틀조선
KR7105740005,105740,디케이락,디케이락
KR7263020000,263020,디케이앤디,디케이앤디
KR7290550003,290550,디케이티,디케이티
KR7007340003,7340,디티알오토모티브보통주,디티알오토모티브
KR7187220009,187220,디티앤씨,디티앤씨
KR7163430002,163430,디피코,디피코
KR7131180002,131180,딜리,딜리
KR7315640003,315640,딥노이드,딥노이드
KR7317120004,317120,라닉스,라닉스
KR7042510008,42510,라온시큐어,라온시큐어
KR7232680009,232680,라온테크,라온테크
KR7300120003,300120,라온피플,라온피플
KR7171120009,171120,라이온켐텍,라이온켐텍
KR7069540003,69540,라이트론,라이트론
KR7285770004,285770,라이프사이언스테크놀로지,라이프사이언스테크놀로지
KR7347700007,347700,라이프시맨틱스,라이프시맨틱스
KR7214260002,214260,라파스,라파스
